"Device Name","WEATHER - 2719569"
"Device Model","5500L"
"Serial Number","2719569"
"FORMATTED DATE_TIME","Temperature","Wet Bulb Temp","Relative Humidity","Barometric Pressure","Altitude","Station Pressure","Wind Speed","Heat Index","Dew Point","Density Altitude","Crosswind","Headwind","Compass Magnetic Direction","Compass True Direction","Wind Chill","Data Type","Record name","Start time","Duration (H:M:S)","Location description","Location address","Location coordinates","Notes"
"YYYY-MM-DD HH:MM:SS","°C","°C","%","mb","m","mb","km/h","°C","°C","m","km/h","km/h","Deg","Deg","°C"
"2023-06-14 02:40:00 p. m.","21,2","12,7","39,6","883,4","1139","883,4","5,1","20,2","6,9","1664","0,3","-5,1","183","184","21,2","session"
"2023-06-14 02:40:30 p. m.","21,8","13,3","40,3","883,5","1139","883,5","12,5","20,8","7,7","1684","0,6","-12,5","182","183","21,7","session"
"2023-06-14 02:41:00 p. m.","22,1","13,4","39,4","883,5","1138","883,5","11,7","21,2","7,7","1695","0,7","-11,7","183","183","22,1","session"
"2023-06-14 02:41:30 p. m.","21,4","12,8","38,8","883,5","1139","883,5","12,2","20,4","6,8","1668","0,9","-12,2","184","185","21,3","session"
"2023-06-14 02:42:00 p. m.","21,6","13,0","39,6","883,5","1138","883,5","6,5","20,7","7,2","1675","0,5","-6,5","183","184","21,5","session"
"2023-06-14 02:42:30 p. m.","22,4","13,7","39,7","883,5","1139","883,5","14,0","21,4","8,1","1707","2,1","-13,9","188","188","22,4","session"
"2023-06-14 02:43:00 p. m.","22,1","13,3","38,9","883,4","1139","883,4","5,0","21,1","7,5","1695","0,6","-5,0","186","187","22,0","session"
"2023-06-14 02:43:30 p. m.","22,2","13,2","38,2","883,5","1139","883,5","7,7","21,1","7,3","1695","0,8","-7,7","185","186","22,1","session"
"2023-06-14 02:44:00 p. m.","22,1","13,2","38,6","883,5","1138","883,5","18,7","21,1","7,3","1693","2,3","-18,6","187","187","22,0","session"
"2023-06-14 02:44:30 p. m.","21,9","13,1","38,5","883,4","1139","883,4","11,1","20,9","7,2","1688","1,4","-11,1","187","188","21,9","session"
"2023-06-14 02:45:00 p. m.","22,5","13,5","38,4","883,5","1139","883,5","11,7","21,4","7,7","1708","1,3","-11,6","186","186","22,5","session"
"2023-06-14 02:45:30 p. m.","21,8","13,0","38,4","883,5","1139","883,5","11,8","20,8","7,0","1684","1,2","-11,7","185","185","21,8","session"
"2023-06-14 02:46:00 p. m.","22,4","13,6","39,3","883,5","1138","883,5","9,1","21,3","7,9","1703","0,6","-9,1","183","184","22,3","session"
"2023-06-14 02:46:30 p. m.","22,3","13,6","39,5","883,5","1138","883,5","11,0","21,3","7,9","1702","0,0","-11,0","179","180","22,3","session"
"2023-06-14 02:47:00 p. m.","21,4","12,8","39,0","883,5","1138","883,5","7,7","20,5","6,9","1669","0,0","-7,7","180","180","21,4","session"
"2023-06-14 02:47:30 p. m.","21,1","12,6","39,2","883,5","1138","883,5","6,0","19,9","6,7","1656","0,0","-6,0","179","180","21,0","session"
"2023-06-14 02:48:00 p. m.","21,8","13,2","39,5","883,5","1139","883,5","7,2","20,8","7,4","1683","0,5","-7,2","183","184","21,7","session"
"2023-06-14 02:48:30 p. m.","21,4","12,8","39,4","883,4","1139","883,4","5,4","20,4","7,0","1668","0,0","-5,4","179","180","21,3","session"
"2023-06-14 02:49:00 p. m.","20,7","12,3","39,4","883,5","1139","883,5","12,8","19,3","6,4","1641","1,8","-12,7","187","188","20,6","session"
"2023-06-14 02:49:30 p. m.","20,5","12,2","39,7","883,5","1139","883,5","7,1","19,0","6,3","1636","0,4","-7,1","183","183","20,4","session"
"2023-06-14 02:50:00 p. m.","22,2","13,6","40,3","883,5","1138","883,5","11,3","21,2","8,1","1698","1,7","-11,1","187","188","22,1","session"
"2023-06-14 02:50:30 p. m.","21,2","12,6","38,6","883,5","1139","883,5","13,3","20,1","6,5","1660","2,0","-13,1","188","189","21,1","session"
"2023-06-14 02:51:00 p. m.","20,8","12,3","39,2","883,5","1139","883,5","9,4","19,6","6,4","1647","1,4","-9,3","189","189","20,8","session"
"2023-06-14 02:51:30 p. m.","22,5","13,8","39,8","883,5","1139","883,5","10,8","21,4","8,2","1710","1,6","-10,7","188","188","22,4","session"
"2023-06-14 02:52:00 p. m.","20,8","12,3","38,7","883,5","1138","883,5","13,9","19,6","6,3","1647","1,8","-13,7","187","187","20,8","session"
"2023-06-14 02:52:30 p. m.","21,8","13,1","39,1","883,4","1139","883,4","3,0","20,8","7,3","1684","0,5","-2,9","190","190","21,7","session"
"2023-06-14 02:53:00 p. m.","22,5","13,5","38,4","883,4","1139","883,4","2,5","21,3","7,6","1707","0,4","-2,4","190","190","22,4","session"
"2023-06-14 02:53:30 p. m.","21,8","13,0","38,2","883,5","1138","883,5","13,3","20,7","6,9","1681","1,4","-13,3","187","187","21,7","session"
"2023-06-14 02:54:00 p. m.","22,1","13,2","38,4","883,5","1139","883,5","8,6","21,1","7,3","1693","1,1","-8,5","188","189","22,1","session"
"2023-06-14 02:54:30 p. m.","21,6","12,8","38,3","883,5","1138","883,5","12,7","20,6","6,8","1673","1,0","-12,6","183","184","21,5","session"
"2023-06-14 02:55:00 p. m.","22,3","13,6","39,7","883,5","1138","883,5","10,6","21,2","7,9","1701","1,2","-10,5","186","187","22,2","session"
"2023-06-14 02:55:30 p. m.","22,0","13,2","38,8","883,5","1139","883,5","10,3","21,1","7,4","1692","1,1","-10,3","185","186","22,0","session"
"2023-06-14 02:56:00 p. m.","19,9","11,6","38,7","883,5","1139","883,5","6,1","18,2","5,4","1612","0,4","-6,1","184","184","19,8","session"
"2023-06-14 02:56:30 p. m.","22,5","13,9","40,9","883,5","1139","883,5","3,5","21,5","8,5","1709","0,1","-3,5","182","182","22,4","session"
"2023-06-14 02:57:00 p. m.","21,6","12,8","38,4","883,5","1139","883,5","10,2","20,6","6,8","1674","0,9","-10,2","184","185","21,5","session"
"2023-06-14 02:57:30 p. m.","21,7","13,0","38,8","883,5","1138","883,5","8,3","20,7","7,1","1679","0,0","-8,3","180","180","21,6","session"
"2023-06-14 02:58:00 p. m.","21,7","12,9","38,7","883,5","1138","883,5","8,3","20,7","7,0","1678","0,5","-8,3","177","178","21,6","session"
"2023-06-14 02:58:30 p. m.","21,9","13,1","38,8","883,5","1138","883,5","7,9","20,9","7,3","1686","0,0","-7,9","179","179","21,8","session"
"2023-06-14 02:59:00 p. m.","21,2","12,8","40,1","883,5","1139","883,5","6,9","20,2","7,1","1663","0,1","-6,9","180","181","21,2","session"
"2023-06-14 02:59:30 p. m.","23,2","14,5","40,7","883,5","1139","883,5","8,5","22,1","9,1","1735","0,4","-8,5","183","183","23,1","session"
"2023-06-14 03:00:00 p. m.","23,4","14,4","39,3","883,5","1139","883,5","9,3","22,2","8,7","1740","0,5","-9,3","182","182","23,3","session"
"2023-06-14 03:00:30 p. m.","23,1","13,9","38,2","883,4","1139","883,4","8,1","21,9","8,1","1731","0,3","-8,1","181","182","23,1","session"
"2023-06-14 03:01:00 p. m.","22,5","13,5","38,5","883,4","1139","883,4","10,1","21,4","7,7","1710","0,9","-10,0","185","185","22,5","session"
